
Ukrivljeni lok – Članice
2,Praprotnik Bezjak Urban,028 - GLK Tržič,557/15,556/15,549/20,549/20,561/15,545/*15,558/20,3330/105
3,Grandič Jure,007 - LK Ankaran,583/25,572/20,,,569/25,579/25,,2303/95
4,Kraševec Boris,052 - DLLL Snežniška Diana,524/12,537/12,524/15,,,539/12,,2124/51
5,Komidar Tilen,052 - DLLL Snežniška Diana,454/11,488/11,511/12,,509/12,,,1962/46

Sestavljeni lok – Mlajše od 21 let
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Miklavčič Klara,006 - LK MINS Postojna,405/*20,519/25,527/25,544/25,543/25,545/25,536/25,3214/150
2,Kovačič Lucija,011 - LK Šenčur,496/25,,525/20,494/20,530/20,531/20,,2576/105

Sestavljeni lok – Mlajši od 21 let
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Obreza Škerjanec Timotej,006 - LK MINS Postojna,564/*25,577/25,578/25,577/25,587/25,574/25,584/25,3477/150
2,Rutar Emanuel,063 - LK DLL Potens,507/20,,502/20,,,,,1009/40
3,Gornik Anže,049 - DL Dravograd,,568/20,,,,,,568/20

Sestavljeni lok – Starejši od 50 let
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Jamnik Marko,049 - DL Dravograd,,565/25,561/25,561/20,,,562/25,2249/95
2,Fink Denis,007 - LK Ankaran,554/12,558/12,550/15,542/9,553/20,549/12,,3306/80
3,Modic Aleš,011 - LK Šenčur,,553/11,,546/10,553/15,560/20,556/20,2768/76
4,Imperl Bojan,002 - LK Maribor,,563/20,,561/25,,561/25,,1685/70
5,Krajnc Žare,008 - LK Gornji Grad,532/7,550/8,548/12,536/8,,552/15,549/15,3267/65
6,Štuhec Bojan,068 - LK Lendava,537/8,535/4,540/10,,556/25,547/11,540/7,3255/65
7,Menart Renato,058 - LD Logatec,562/25,551/9,545/11,,,,541/8,2199/53
8,Petrič Marko,007 - LK Ankaran,546/10,546/6,532/8,536/7,548/11,520/8,,3228/50
9,Poljanec Ivan,067 - LK Budanje,560/15,560/15,555/20,,,,,1675/50
10,Luštrek Robert,007 - LK Ankaran,538/9,546/5,537/9,,545/10,544/10,,2710/43
11,Hozjan Ignac,068 - LK Lendava,527/6,521/3,528/7,534/6,535/9,,545/11,3190/42
12,Fišer Marjan,002 - LK Maribor,,,,556/11,551/12,,542/9,1649/32
13,Goršič Edvard,051 - LK Turjak,550/11,552/10,,,,,,1102/21
14,Petkovič Zlatko,046 - LK Dolenjske Toplice,,,,,,543/9,548/12,1091/21
15,Ušaj Rajko,014 - LK Gorica,561/20,,,,,,,561/20
16,Trost Danilo,001 - LK Muta,,547/7,,558/12,,,,1105/19
17,Ambrož Edvin,049 - DL Dravograd,,,,560/15,,,,560/15
18,Plank Henrik,075 - Društvo Šentlok,,513/2,,501/3,,,497/6,1511/11
19,Novak Aleš,065 - DL Lucky Art,,,,,,,543/10,543/10
20,Dornik Boštjan,002 - LK Maribor,,,,,,507/7,,507/7
21,Kuzma Kristijan,068 - LK Lendava,,,515/6,,,,,515/6
22,Klemen Dušan,001 - LK Muta,,,,526/5,,,,526/5
23,Kokol Marjan,002 - LK Maribor,,,,509/4,,,,509/4
24,Kuzma Branko,068 - LK Lendava,,,55/0,,,,,55/0

Goli lok – Članice
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Ferjančič Janja,067 - LK Budanje,,494/25,495/25,480/25,467/25,493/25,526/25,2955/150
